domain,country
ge.com,United States
gemalto.com,Netherlands
gemplus.com,France
germany.bosch.com,Germany
getherinbed.net,Unknown
ggn.hcltech.com,India
ghaccess.se,Sweden
gi-de.com,Germany
gilat.com,Israel
gist.ac.kr,South Korea
gksag.de,Germany
glasgow.ac.uk,United Kingdom
global.tencent.com,China
globaledgesoft.com,Mauritius
globalstar.com,United States
gm.com,United States
gmail.com,United States
gmv.com,Spain
gmx.com,Germany
gmx.de,Germany
gmx.net,Germany
gncc.ge,Georgia
gnksconsult.com,Netherlands
golem.at,Austria
google.com,United States
googlemail.com,United States
gov.in,India
governikus.de,Germany
govstrat.eu,European Union
govteams.gov.au,Australia
gradiant.org,Spain
gs1.org,international
gsma.com,United Kingdom
gw.nttdocomo.co.jp,Japan
gytmi.advantest.co.jp,Japan
h3c.com,China
h3g.it,Italy
hagergroup.com,Germany
haier.com,China
hananet.net,Unknown
hansung.ac.kr,South Korea
hcl.in,India
hco.ntt.co.jp,Japan
head-acoustics.com,Germany
head-acoustics.de,Germany
hei.co.kr,South Korea
hermonlabs.com,Israel
herox.com,United States
hetnet.nl,Netherlands
hhi.fraunhofer.de,Germany
hi3gaccess.se,Sweden
hihonor.com,China
hisilicon.com,China
hm.edu,Germany
hmu.gr,Greece
hns.com,Unknown
holmes.nl,Netherlands
holonix.it,Italy
home.com,United States
homeoffice.gov.uk,United Kingdom
homeoffice.gsi.gov.uk,United Kingdom
honor.com,China
hopu.eu,European Union
hotmail.com,United States
hp.com,United States
hpe.com,United States
hss.hns.com,Unknown
hssworld.com,United States
htc.com,Taiwan
hthk.com,Hong Kong
huawei.com,China
huawei.com.cn,China
hughes.com,United States
hutchison3g.com,United Kingdom
hwcomms.com,United Kingdom
hyd.hellosoft.com,United Kingdom
hytera.com,china
hzn.hr,Croatia
iaik.tugraz.at,Austria
ic.fbi.gov,United States
ic.uma.es,Spain
iccs.gr,Greece
icm.siemens.com,Germany
icn.siemens.de,Germany
icn.siemens.it,Italy
ico.com,Hong Kong
icomverse.com,United States
icoor.it,Italy
icpdd.neca.nec.com.au,Australia
icr.a-star.edu.sg,Singapore
idemia.com,France
idirect.net,United States
iee.org,United States
ifn.ing.tu-bs.de,Germany
ifrsys.com,United States
igd.fraunhofer.de,Germany
iis.fraunhofer.de,Germany
iitb.ac.in,India
iitk.ac.in,India
ikea.com,Sweden
ilnas.etat.lu,Luxembourg
imap4.nttdocomo.co.jp,Japan
imec.be,Belgium
imraff.com,India
in.bosch.com,Germany
in.huawei.com,China
in.ibm.com,United States
inabensa.abengoa.com,Spain
inatel.br,Brazil
inbglr.prairiecomm.com,United States
incelligent.net,Greece
india.hp.com,India
india.mercurykr.com,India
india.nec.com,India
indra.es,Spain
ine.ericsson.se,Sweden
infineon.com,Germany
infocert.it,Italy
informatik.uni-goettingen.de,Germany
inmarsat.com,United Kingdom
inno-group.com,France
insight-centre.org,Ireland
